,Classification,ageless5,Cluster Labels,pop,venue_count,Convenience Store,Coffee Shop,American Restaurant,Ven_Pop,ven_ageless5
0,3,1096,2.0,18211,24,0.0,0.0,0.0,0.0013178847949041788,0.021897810218978103
1,1,2587,2.0,36657,23,2.7279919251439015e-05,2.7279919251439015e-05,2.7279919251439015e-05,0.0006274381427830973,0.00889060688055663
2,3,2106,2.0,37241,16,2.6852125345721114e-05,0.0,0.0,0.0004296340055315378,0.007597340930674264
3,1,1616,2.0,29037,10,3.443881943726969e-05,0.0,0.0,0.0003443881943726969,0.006188118811881188
4,3,799,2.0,10174,8,0.0,0.0,0.0,0.0007863180656575585,0.010012515644555695
5,1,3798,2.0,43539,34,4.593582764877466e-05,2.296791382438733e-05,0.0,0.0007809090700291693,0.008952080042127435
6,1,4225,2.0,49746,70,0.00010051059381658827,4.02042375266353e-05,2.010211876331765e-05,0.0014071483134322357,0.016568047337278107
7,1,3744,2.0,51572,40,1.93903668657411e-05,1.93903668657411e-05,0.0,0.000775614674629644,0.010683760683760684
8,1,4740,2.0,72650,50,4.129387474191328e-05,4.129387474191328e-05,1.3764624913971094e-05,0.0006882312456985547,0.010548523206751054
9,3,1733,2.0,38810,8,0.0,2.576655501159495e-05,0.0,0.0002061324400927596,0.004616272360069244
10,3,4071,2.0,66695,20,2.998725541644801e-05,4.4980883124672017e-05,0.0,0.0002998725541644801,0.0049127978383689515
11,3,3271,2.0,52270,51,3.826286588865506e-05,9.565716472163767e-05,0.0,0.000975703080160704,0.0155915622133904
12,1,3129,2.0,36475,21,5.483207676490747e-05,0.0,0.0,0.0005757368060315284,0.006711409395973154
13,3,1088,2.0,12215,6,8.186655751125665e-05,0.0,0.0,0.0004911993450675399,0.0055147058823529415
14,1,398,2.0,2810,2,0.0,0.0,0.0,0.0007117437722419929,0.005025125628140704
15,3,3057,2.0,49962,10,0.0,0.0,0.0,0.00020015211560786198,0.0032711808963035655
16,3,1757,2.0,33033,39,9.081827263645445e-05,3.027275754548482e-05,0.0,0.0011806375442739079,0.0221969265793967
17,1,4766,2.0,48652,30,6.166241881114857e-05,0.0,2.0554139603716188e-05,0.0006166241881114857,0.00629458665547629
18,3,1669,2.0,29160,81,6.858710562414266e-05,0.0003429355281207132,6.858710562414266e-05,0.002777777777777778,0.048532055122828044
19,3,1743,2.0,33286,48,3.0042660578020782e-05,9.012798173406237e-05,3.0042660578020782e-05,0.001442047707744998,0.027538726333907058
20,3,917,2.0,16364,5,6.11097531165974e-05,0.0,0.0,0.00030554876558298703,0.0054525627044711015
21,1,2386,2.0,35994,41,5.556481635828194e-05,5.556481635828194e-05,2.778240817914097e-05,0.0011390787353447796,0.017183570829840736
22,3,1286,2.0,24977,33,8.007366777435242e-05,4.003683388717621e-05,4.003683388717621e-05,0.0013212155182768146,0.025660964230171075
23,3,37,2.0,778,5,0.0,0.0012853470437017994,0.0012853470437017994,0.006426735218508998,0.13513513513513514
24,1,240,2.0,5602,12,0.0,0.0001785076758300607,0.0,0.0021420921099607284,0.05
25,3,106,2.0,2734,6,0.000365764447695684,0.0,0.0,0.0021945866861741038,0.05660377358490566
26,3,2042,2.0,30458,94,0.0,0.00022982467660384793,0.00026265677326154047,0.003086217085823101,0.04603330068560235
27,1,59,2.0,1130,5,0.0008849557522123894,0.0,0.0,0.004424778761061947,0.0847457627118644
28,3,308,5.0,4999,5,0.0,0.0,0.0,0.0010002000400080016,0.016233766233766232
29,1,568,2.0,13007,16,0.0,7.688167909587145e-05,0.0,0.0012301068655339433,0.028169014084507043
30,3,1490,2.0,25700,32,3.891050583657588e-05,0.00011673151750972762,3.891050583657588e-05,0.001245136186770428,0.021476510067114093
31,3,1745,2.0,21427,13,0.0,0.0,0.0,0.0006067111588183133,0.007449856733524355
32,3,1461,2.0,22139,53,9.033831699715434e-05,4.516915849857717e-05,0.0,0.0023939654004245903,0.03627652292950034
33,3,1605,2.0,32220,39,0.0,6.207324643078833e-05,0.0,0.0012104283054003725,0.024299065420560748
34,3,1854,2.0,33165,100,3.015226895823911e-05,9.045680687471733e-05,6.030453791647822e-05,0.003015226895823911,0.05393743257820928
35,3,141,4.0,4017,5,0.0,0.0,0.0,0.0012447099825740602,0.03546099290780142
36,1,123,2.0,2785,4,0.0,0.0,0.0003590664272890485,0.001436265709156194,0.032520325203252036
37,3,276,2.0,6296,6,0.0,0.0,0.0,0.0009529860228716646,0.021739130434782608
38,3,1486,2.0,31255,7,0.0,0.0,0.0,0.00022396416573348266,0.004710632570659489
39,3,948,2.0,19185,27,0.0,5.2124055251498564e-05,0.0,0.0014073494917904612,0.028481012658227847
40,3,1661,2.0,32419,43,0.0,6.1692217526759e-05,3.08461087633795e-05,0.0013263826768253185,0.02588801926550271
41,3,2377,2.0,46379,57,2.1561482567541346e-05,0.0,0.0,0.0012290045063498567,0.023979806478754733
42,3,1061,2.0,20366,12,0.0,0.0,0.0,0.0005892173229892959,0.011310084825636193
43,3,565,2.0,10531,20,0.0,0.00018991548760801443,0.0,0.0018991548760801443,0.035398230088495575
44,3,2644,2.0,44221,11,0.0,0.0,0.0,0.00024875059360937113,0.00416036308623298
45,3,2130,2.0,44552,95,4.48913629017777e-05,0.00013467408870533308,0.0,0.0021323397378344407,0.04460093896713615
46,3,2180,2.0,35501,26,0.0,5.633644122700769e-05,0.0,0.0007323737359511,0.011926605504587157
47,3,1439,2.0,29681,20,0.0,3.36915872106735e-05,0.0,0.0006738317442134699,0.01389854065323141
48,1,1960,2.0,28800,12,3.472222222222222e-05,0.0,0.0,0.0004166666666666667,0.006122448979591836
49,3,959,2.0,21736,45,4.600662495399339e-05,9.201324990798678e-05,9.201324990798678e-05,0.002070298122929702,0.04692387904066736
50,1,211,4.0,2445,16,0.0,0.00040899795501022495,0.00040899795501022495,0.006543967280163599,0.07582938388625593
51,3,4683,2.0,64118,80,1.5596244424342617e-05,3.1192488848685235e-05,1.5596244424342617e-05,0.0012476995539474095,0.01708306641042067
52,3,157,2.0,3909,4,0.0,0.0,0.0,0.0010232796111537478,0.025477707006369428
53,3,278,2.0,5314,7,0.0,0.0,0.0,0.0013172751223184042,0.025179856115107913
54,3,1536,2.0,31985,11,0.0,0.0,0.0,0.00034391120837892763,0.007161458333333333
55,3,147,2.0,12923,100,0.0,0.0002321442389538033,0.0003869070649230055,0.0077381412984601095,0.6802721088435374
56,1,236,2.0,20366,21,0.0,0.00014730433074732396,0.0,0.0010311303152312678,0.08898305084745763
57,3,2877,2.0,33302,21,3.0028226532940963e-05,3.0028226532940963e-05,0.0,0.0006305927571917603,0.0072992700729927005
58,3,1841,2.0,32886,22,0.0,3.040807638508788e-05,0.0,0.0006689776804719333,0.011950027159152634
59,3,999,2.0,24237,9,0.0,4.125923175310476e-05,4.125923175310476e-05,0.0003713330857779428,0.009009009009009009
60,3,2279,2.0,26185,16,0.0,0.0,0.0,0.0006110368531602062,0.007020623080298377
61,3,1205,2.0,25560,21,0.0,7.824726134585289e-05,7.824726134585289e-05,0.0008215962441314554,0.017427385892116183
62,3,2048,2.0,36394,70,5.495411331538165e-05,0.00016486233994614499,2.7477056657690825e-05,0.001923393966038358,0.0341796875
63,3,2073,2.0,33789,50,5.919086093107224e-05,2.959543046553612e-05,0.0,0.0014797715232768062,0.0241196333815726
64,3,1121,2.0,19672,87,0.0,0.00030500203334688896,0.00015250101667344445,0.00442252948352989,0.07760927743086529
65,3,1464,2.0,26030,56,0.0,7.68344218209758e-05,0.0,0.0021513638109873223,0.03825136612021858
66,1,1072,2.0,19343,23,0.0,0.0001033965775732823,5.1698288786641165e-05,0.0011890606420927466,0.021455223880597014
67,1,832,2.0,12461,29,8.025038118931062e-05,0.0,0.0,0.002327261054490009,0.03485576923076923
68,3,635,2.0,19214,21,5.2045383574476944e-05,0.00010409076714895389,0.0,0.0010929530550640159,0.03307086614173228
69,3,5533,2.0,67646,34,1.4782840079236024e-05,0.0,0.0,0.0005026165626940247,0.006144948490872944
70,3,2555,2.0,36008,51,5.554321261941791e-05,0.0001388580315485448,0.0,0.0014163519217951566,0.019960861056751468
71,1,2091,2.0,40548,23,2.4662128834961033e-05,0.0,2.4662128834961033e-05,0.0005672289632041037,0.010999521759923482
72,3,1530,2.0,22688,5,0.0,4.407616361071932e-05,0.0,0.00022038081805359662,0.0032679738562091504
73,3,1351,2.0,20651,20,9.684761028521622e-05,4.842380514260811e-05,0.0,0.0009684761028521621,0.014803849000740192
74,3,1139,2.0,18794,4,0.0,0.0,0.0,0.00021283388315419816,0.003511852502194908
75,3,1536,2.0,32286,76,3.0973177228520105e-05,9.291953168556032e-05,3.0973177228520105e-05,0.002353961469367528,0.049479166666666664
76,3,1817,2.0,35323,15,5.662033236135096e-05,2.8310166180675488e-05,0.0,0.0004246524927101322,0.00825536598789213
77,3,1930,2.0,33430,23,0.0,0.00011965300628178281,0.0,0.0006880047861202512,0.011917098445595855
78,1,4857,2.0,54183,18,3.691194655150139e-05,0.0,0.0,0.0003322075189635125,0.0037059913526868438
79,3,418,2.0,8965,29,0.0,0.0,0.00011154489682097042,0.0032348020078081428,0.06937799043062201
80,1,2697,2.0,36766,8,0.0,0.0,0.0,0.0002175923407496056,0.0029662588060808304
81,3,1109,2.0,22476,5,0.0,0.0,0.0,0.00022245951236874887,0.004508566275924256
82,1,3597,2.0,49492,28,0.0,0.0,0.0,0.0005657479996767154,0.00778426466499861
83,3,1838,2.0,27412,26,3.648037355902524e-05,3.648037355902524e-05,3.648037355902524e-05,0.0009484897125346563,0.014145810663764961
84,3,431,2.0,8595,16,0.0,0.0,0.0002326934264107039,0.0018615474112856313,0.037122969837587005
85,1,1583,4.0,19333,4,0.0,0.0,0.0,0.0002069001189675684,0.002526847757422615
86,3,834,2.0,20280,4,0.0,0.0,0.0,0.0001972386587771203,0.004796163069544364
87,3,2307,3.0,17311,1,0.0,0.0,0.0,5.7766737912310095e-05,0.00043346337234503684
88,3,3428,2.0,46852,5,0.0,0.0,0.0,0.00010671903013745412,0.0014585764294049008
89,3,2283,2.0,33669,15,0.0,0.0,0.0,0.00044551367726989216,0.006570302233902759
90,1,570,2.0,13438,29,0.0,7.441583568983478e-05,0.0,0.0021580592350052092,0.05087719298245614
91,1,2088,2.0,28329,11,0.0,0.0,0.0,0.000388294680362879,0.005268199233716475
92,1,2468,2.0,29418,11,0.0,0.0,3.399279352777212e-05,0.00037392072880549325,0.004457050243111832
93,1,3094,2.0,34861,15,2.868535039155504e-05,0.0,0.0,0.0004302802558733255,0.004848093083387201
94,3,854,2.0,25404,20,0.0,3.9363879703983625e-05,0.0,0.0007872775940796725,0.0234192037470726
95,3,616,2.0,29016,100,0.0,0.00010339123242349049,0.00017231872070581748,0.0034463744141163496,0.16233766233766234
96,3,654,2.0,24734,48,0.0,4.043017708417562e-05,4.043017708417562e-05,0.0019406485000404302,0.07339449541284404
97,3,1539,2.0,26418,22,3.7852979029449615e-05,0.0,0.0,0.0008327655386478915,0.014294996751137101
98,3,764,2.0,17462,45,0.0,5.726720879624328e-05,5.726720879624328e-05,0.0025770243958309473,0.058900523560209424
99,3,1852,2.0,41026,100,2.4374786720616195e-05,0.00019499829376492956,0.0,0.0024374786720616193,0.05399568034557235
100,3,937,5.0,19121,3,0.0,0.0,0.0,0.00015689555985565608,0.0032017075773745998
101,1,47,2.0,903,4,0.0011074197120708748,0.0011074197120708748,0.0,0.004429678848283499,0.0851063829787234
102,3,365,5.0,8770,10,0.0,0.0,0.0,0.0011402508551881414,0.0273972602739726
103,3,206,2.0,4632,51,0.0002158894645941278,0.0006476683937823836,0.0008635578583765112,0.011010362694300517,0.24757281553398058
104,3,225,2.0,10204,100,0.0,0.0005880047040376323,0.0006860054880439044,0.009800078400627205,0.4444444444444444
106,3,32,5.0,730,6,0.0,0.0,0.0013698630136986301,0.00821917808219178,0.1875
107,3,48,5.0,238,4,0.0,0.0,0.0,0.01680672268907563,0.08333333333333333
108,3,379,2.0,8480,27,0.0,0.0002358490566037736,0.0001179245283018868,0.0031839622641509436,0.0712401055408971
109,3,573,2.0,7162,78,0.0,0.0006981290142418319,0.0006981290142418319,0.010890812622172577,0.13612565445026178
111,3,810,2.0,24284,41,0.0,0.0001235381321034426,0.0001235381321034426,0.0016883544720803821,0.050617283950617285
112,3,94,2.0,2356,17,0.00042444821731748726,0.00042444821731748726,0.0,0.007215619694397283,0.18085106382978725
113,3,119,2.0,2261,30,0.0004422821760283061,0.0008845643520566123,0.0004422821760283061,0.013268465280849183,0.25210084033613445
114,3,124,2.0,4201,29,0.0,0.0007141156867412521,0.00119019281123542,0.006903118305165437,0.23387096774193547
116,3,234,2.0,4335,20,0.0002306805074971165,0.0,0.0002306805074971165,0.00461361014994233,0.08547008547008547
118,3,170,2.0,3090,28,0.0,0.0006472491909385113,0.00032362459546925567,0.009061488673139158,0.16470588235294117
119,1,148,5.0,2501,5,0.0,0.0,0.0,0.001999200319872051,0.033783783783783786
120,3,363,2.0,7319,33,0.0001366306872523569,0.0001366306872523569,0.0002732613745047138,0.004508812679327777,0.09090909090909091
121,3,695,2.0,16204,17,6.171315724512466e-05,6.171315724512466e-05,0.0,0.0010491236731671192,0.02446043165467626
122,3,132,2.0,3456,22,0.0,0.0011574074074074076,0.00028935185185185184,0.00636574074074074,0.16666666666666666
123,1,121,2.0,2161,6,0.0,0.0,0.0,0.002776492364645997,0.049586776859504134
125,3,111,2.0,3395,16,0.0002945508100147275,0.0,0.0002945508100147275,0.00471281296023564,0.14414414414414414
127,1,89,2.0,1342,8,0.0,0.0,0.0007451564828614009,0.005961251862891207,0.0898876404494382
129,3,56,4.0,660,4,0.0,0.0,0.0,0.006060606060606061,0.07142857142857142
130,3,702,2.0,17708,100,0.0,0.00016941495369324599,0.0007341314660040659,0.0056471651231082,0.14245014245014245
131,1,333,4.0,7530,4,0.0,0.0,0.0,0.0005312084993359894,0.012012012012012012
132,3,2994,2.0,41996,69,7.143537479759977e-05,7.143537479759977e-05,7.143537479759977e-05,0.0016430136203447947,0.023046092184368736
133,3,1546,2.0,33811,49,2.9576173434681014e-05,0.00011830469373872406,0.0,0.00144923249829937,0.03169469598965071
134,1,3598,2.0,52339,39,3.8212422858671357e-05,1.9106211429335678e-05,0.0,0.0007451422457440914,0.01083935519733185
136,3,38,5.0,1673,5,0.0,0.0,0.0,0.002988643156007173,0.13157894736842105
137,1,654,2.0,12001,20,0.0,8.332638946754438e-05,0.00016665277893508876,0.0016665277893508875,0.03058103975535168
138,1,359,2.0,5010,12,0.0001996007984031936,0.0,0.0001996007984031936,0.0023952095808383233,0.033426183844011144
139,3,2120,2.0,25117,18,0.0,7.962734402993989e-05,0.0,0.0007166460962694589,0.008490566037735849
140,3,376,2.0,9605,81,0.0,0.00031233732431025507,0.00041644976574700676,0.008433107756376887,0.2154255319148936
141,3,1302,2.0,36768,51,0.00010879025239338555,5.4395126196692775e-05,2.7197563098346387e-05,0.0013870757180156658,0.03917050691244239
142,1,2268,2.0,34670,100,0.0,0.00020190366310931645,0.00011537352177675224,0.002884338044418806,0.04409171075837742
143,3,2948,2.0,53128,100,5.646739948802891e-05,5.646739948802891e-05,5.646739948802891e-05,0.0018822466496009637,0.033921302578018994
144,3,2586,2.0,46018,54,4.3461254291798863e-05,4.3461254291798863e-05,2.1730627145899432e-05,0.0011734538658785692,0.02088167053364269
145,3,1255,2.0,20681,4,0.0,0.0,0.0,0.00019341424495914123,0.0031872509960159364
146,3,392,2.0,4322,1,0.0,0.0,0.0,0.00023137436372049977,0.002551020408163265
147,1,1414,2.0,16258,13,6.150818058801821e-05,6.150818058801821e-05,0.0,0.0007996063476442367,0.009193776520509194
148,1,99,5.0,2604,5,0.0,0.0,0.0,0.0019201228878648233,0.050505050505050504
149,1,2424,2.0,43394,98,6.91339816564502e-05,0.00016131262386505046,0.0001382679633129004,0.0022583767341107066,0.040429042904290426
150,3,2141,2.0,46754,100,0.00010694272147837618,0.00010694272147837618,4.277708859135047e-05,0.002138854429567524,0.046707146193367584
151,1,212,4.0,4493,4,0.0,0.0,0.00022256843979523704,0.0008902737591809482,0.018867924528301886
152,1,447,2.0,4384,5,0.0,0.0,0.0,0.0011405109489051094,0.011185682326621925
153,3,470,2.0,6577,9,0.0001520450053215752,0.0,0.0001520450053215752,0.0013684050478941767,0.019148936170212766
155,1,225,2.0,1908,5,0.0,0.0,0.0,0.002620545073375262,0.022222222222222223
156,1,1009,2.0,10674,8,0.0,0.0,0.0,0.0007494847292486415,0.007928642220019821
157,1,1894,2.0,26555,56,3.765769158350593e-05,0.00015063076633402373,7.531538316701187e-05,0.0021088307286763323,0.029567053854276663
158,3,2359,2.0,38793,67,5.155569303740365e-05,5.155569303740365e-05,7.733353955610548e-05,0.0017271157167530224,0.02840186519711742
