,zipcode,radius_meters
0,80023,3400
1,80022,5400
2,80103,13600
3,80701,19800
4,80010,1800
5,81101,16300
6,80012,2200
7,80013,3000
8,81084,12500
9,81038,200
10,80301,4500
11,80503,7800
12,80403,9300
13,81201,17000
14,81242,1100
15,81151,12000
16,81129,1600
17,81062,12400
18,81069,13300
19,81413,11700
20,80204,1800
21,80249,5500
22,80219,2200
23,80202,800
24,81332,6200
25,81320,11000
26,81620,4900
27,81649,7100
28,80423,10100
29,80463,8800
30,80426,9300
31,81623,16900
32,80828,18700
33,80831,11000
34,80910,1900
35,80951,1700
36,80840,4300
37,80819,2300
38,80930,4800
39,80938,1400
40,81008,9300
41,81226,7300
42,81221,900
43,80451,6600
44,81239,5700
45,81237,4700
46,81089,21200
47,80834,13600
48,80741,12100
49,81527,22400
50,81646,6900
51,81321,16500
52,81401,12300
53,80733,4700
54,80456,12200
55,80721,7400
56,81654,7500
57,81648,28200
58,80467,12200
59,81426,3300
60,80435,8300
61,80498,13100
62,80863,8900
63,80814,8000
64,80812,9400
65,80620,2000
66,80645,9400
67,80648,9900
68,80234,2100
69,81144,13500
70,81090,20300
71,81050,18700
72,81092,7400
73,81044,14600
74,80305,2100
75,80544,100
76,80862,9400
77,81124,3100
78,81152,16900
79,81126,3500
80,81033,400
81,81253,9100
82,81428,11900
83,80214,1700
84,80293,0
85,80131,600
86,81621,12000
87,80906,5500
88,80915,2200
89,80924,1800
90,80902,3000
91,80809,5700
92,80939,500
93,81232,1100
94,81652,7600
95,81635,13700
96,80427,3000
97,80482,9100
98,80447,12500
99,80007,4100
100,80425,5400
101,80421,9400
102,80534,5600
103,80525,4000
104,80521,3000
105,81082,19700
106,81091,16700
107,80736,8500
108,81520,3600
109,81523,14600
110,81525,8700
111,81638,10400
112,81641,33200
113,81633,9200
114,80705,400
115,80649,11100
116,81432,13300
117,81615,4000
118,81025,18800
119,81005,12200
120,81022,16600
121,80469,5700
122,80483,7500
123,80744,9100
124,80743,17300
125,80634,4900
126,80611,15700
127,80610,10500
128,80727,11500
129,80642,7900
130,80002,2000
131,80122,2100
132,80123,2900
133,80120,2300
134,80014,2100
135,80129,2200
136,81147,29600
137,81073,20300
138,81087,5100
139,80302,7300
140,80516,5100
141,80027,3500
142,81236,11100
143,80449,19700
144,80825,20700
145,80444,4500
146,81141,5200
147,81148,300
148,80206,1200
149,80235,1500
150,81325,19200
151,80104,7000
152,80109,4100
153,80106,10600
154,80133,4400
155,81632,8900
156,80101,12300
157,80920,2800
158,80919,3000
159,80909,2300
160,80925,3900
161,80913,4100
162,80929,3700
163,81647,15400
164,80446,14000
165,80442,6700
166,80459,19400
167,81225,7200
168,81231,200
169,80228,2600
170,81301,22000
171,80526,5100
172,80524,9400
173,80515,6200
174,81024,5200
175,80728,15300
176,80745,11900
177,81643,11800
178,81505,8000
179,81524,10400
180,81331,12500
181,81429,12100
182,81425,15700
183,80653,9100
184,81642,9500
185,81656,800
186,80424,9000
187,80497,2900
188,80813,8400
189,80860,7000
190,80720,24500
191,80615,8300
192,80542,2400
193,80742,17000
194,80030,1300
195,80020,3600
196,80111,2600
197,80246,1000
198,80128,2900
199,80237,1500
200,80220,1800
201,81064,17700
202,80303,3800
203,80025,2700
204,81227,400
205,80810,18600
206,80821,23400
207,81123,13000
208,81410,3800
209,81418,3600
210,81415,13400
211,81434,19700
212,80207,1700
213,80290,0
214,80116,7400
215,80830,12000
216,80908,7800
217,80132,4400
218,80905,1700
219,80922,1900
220,80864,12600
221,81630,28700
222,81235,18700
223,80457,1000
224,80433,7200
225,81251,7600
226,81328,15400
227,82063,13500
228,80538,8500
229,80532,4000
230,80547,1300
231,81059,26700
232,80823,16200
233,80726,10100
234,81522,13900
235,81506,2800
236,81653,6200
237,81424,14100
238,81423,17900
239,81411,8000
240,80816,10900
241,81041,17200
242,81004,10300
243,81019,2500
244,80487,21700
245,80759,20400
246,80729,21600
247,80652,11000
248,80754,11600
249,80520,500
250,80822,11700
251,80640,3000
252,80241,2100
253,80216,2600
254,80024,100
255,80102,13900
256,80137,8200
257,80011,4000
258,80045,600
259,80239,2500
260,81121,5500
261,81128,10800
262,81052,20700
263,80501,2800
264,80021,3400
265,80439,10700
266,81063,16400
267,81419,11400
268,80205,1700
269,80227,2200
270,80232,1600
271,80108,4800
272,80124,2400
273,81637,22200
274,80835,9600
275,80923,2100
276,80817,6400
277,81212,20000
278,81210,18300
279,81130,24800
280,81055,12900
281,80473,6400
282,80005,2700
283,80004,2200
284,80465,5400
285,81021,12000
286,80861,12700
287,80550,5900
288,80535,5300
289,80612,10200
290,80511,200
291,81027,20000
292,81081,12200
293,80818,13700
294,80731,15600
295,81501,2200
296,81504,2700
297,81507,8400
298,81624,19000
299,81154,13100
300,81610,14100
301,81403,18900
302,80448,12000
303,80820,13800
304,80746,400
305,81047,19700
306,81043,900
307,81023,9000
308,81132,20900
309,81131,14200
310,81430,12800
311,80621,9100
312,80530,1100
313,80651,7800
314,80644,10200
315,80735,13800
316,80003,2100
317,80654,12200
318,80019,3900
319,80212,1600
320,80110,2000
321,80017,1900
322,80113,2200
323,80236,1400
324,81029,18800
325,81057,5800
326,80466,7600
327,80510,6500
328,80476,6100
329,80452,9100
330,81138,3800
331,81076,13300
332,81252,20000
333,80223,1800
334,80238,1700
335,80211,1700
336,80226,2200
337,80130,2000
338,80125,5300
339,80118,9400
340,80832,12400
341,80808,15100
342,80917,2000
343,80907,2500
344,80903,1700
345,80904,2400
346,80911,2800
347,80928,14600
348,81233,7500
349,81222,4400
350,81650,24500
351,81601,14900
352,81230,34100
353,81241,3600
354,81224,10000
355,81248,12900
356,80127,5800
357,80470,9300
358,80419,200
359,81071,19200
360,80807,21700
361,80836,15600
362,80512,17900
363,80513,6700
364,80517,13800
365,81049,28800
366,80751,17500
367,81503,4700
368,81422,13100
369,81431,10400
370,80750,9200
371,81030,500
372,80440,13100
373,80827,12600
374,80475,2600
375,80734,17700
376,81155,14300
377,81149,23200
378,81435,9300
379,80443,8300
380,80631,8200
381,80650,5700
382,80229,2900
383,80602,4400
384,80105,18000
385,80136,11400
386,81146,12100
387,81136,7700
388,80112,3400
389,80016,5500
390,80015,3000
391,80018,4100
392,80304,2400
393,80026,3800
394,80540,10100
395,80504,8100
396,80422,9100
397,80471,700
398,80310,500
399,81211,17300
400,80802,16100
401,80436,2800
402,81120,23800
403,81133,15500
404,81058,5800
405,80203,800
406,80230,1200
407,80294,0
408,81323,21600
409,80126,2600
410,81657,8400
411,81655,9500
412,80921,7500
413,80914,600
414,80927,1600
415,80829,3700
416,81223,16000
417,81240,9800
418,81244,1500
419,80478,5200
420,80468,15800
421,81220,12400
422,81040,18300
423,80480,31400
424,80401,5800
425,80033,2300
426,80454,1600
427,80453,500
428,81326,12700
429,81526,5800
430,81640,39300
431,81330,6500
432,81334,15100
433,81327,4700
434,80723,13700
435,80432,8400
436,81006,6100
437,81007,9800
438,80488,0
439,81143,14600
440,81433,14100
441,80740,10300
442,80801,10000
443,80543,4500
444,80623,600
445,80758,20900
446,80824,8300
447,80601,4200
448,80603,7300
449,80233,2400
450,80260,1700
451,80031,2300
452,80221,2400
453,80643,11600
454,81125,13200
455,80121,2200
456,80247,1300
457,80231,1700
458,80224,1400
459,80222,1600
460,81122,18200
461,81137,11600
462,81054,25100
463,80481,6800
464,80455,4700
465,80438,6000
466,81140,11900
467,81039,19500
468,81416,14800
469,80209,1500
470,80210,1900
471,80218,1000
472,80264,0
473,81324,11900
474,80138,6400
475,80134,6000
476,80135,14600
477,81645,10500
478,81631,12600
479,80117,12500
480,80107,10000
481,80833,17500
482,80926,6400
483,80916,3300
484,80918,2700
485,81243,14700
486,80434,4300
487,80215,1900
488,81036,22200
489,81045,12100
490,80805,10400
491,80815,18400
492,80461,13700
493,81303,11800
494,80536,15400
495,80545,13500
496,80537,8400
497,80528,3600
498,80549,11600
499,81020,19300
500,80804,14700
501,80722,4700
502,80747,10600
503,81521,9800
504,81625,31600
505,81335,4100
506,81067,13800
507,81077,500
508,81427,8100
509,80420,5000
510,81611,16600
511,81612,1300
512,81001,4700
513,81003,2300
514,81639,19700
515,80428,14100
516,80477,100
517,80479,8500
518,80737,12500
519,80749,10400
520,80757,15600
521,80514,2000
522,80546,200
523,80622,2900
524,80624,4500
525,80755,8400
