,zipcode,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
95,80465,Golf Course,Yoga Studio,Farmers Market,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
96,80466,Coffee Shop,Indian Restaurant,Convenience Store,Supermarket,Thai Restaurant,Bakery,Restaurant,Jewelry Store,Brewery,Plaza
97,80483,Hotel,American Restaurant,Trail,Café,Yoga Studio,Food,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop
98,80487,Campground,Bowling Alley,Breakfast Spot,Auto Workshop,Food Service,Flea Market,Flower Shop,Food,Food Court,Yoga Studio
99,80501,Convenience Store,American Restaurant,Coffee Shop,Pizza Place,Brewery,Smoke Shop,Skating Rink,Cajun / Creole Restaurant,Sandwich Place,Chinese Restaurant
100,80503,Gym / Fitness Center,Yoga Studio,Farmers Market,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
101,80504,Gun Range,Gym,Gym / Fitness Center,Yoga Studio,Frozen Yogurt Shop,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
102,80510,Garden Center,Farmers Market,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
103,80513,Home Service,History Museum,Food Court,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop,Food,Yoga Studio,Farm
104,80514,Thai Restaurant,Breakfast Spot,Burger Joint,Optical Shop,Other Repair Shop,Yoga Studio,Flower Shop,Financial or Legal Service,Flea Market,Food Court
105,80517,Scenic Lookout,Yoga Studio,Eye Doctor,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court,Food
106,80521,Baseball Field,Mexican Restaurant,Golf Course,Hobby Shop,Park,Pizza Place,Pool,Football Stadium,Food Truck,Food Service
107,80524,Farm,Lake,Yoga Studio,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
108,80525,Soup Place,Yoga Studio,Farm,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court,Food
109,80526,Music Venue,Breakfast Spot,Cosmetics Shop,Construction & Landscaping,Yoga Studio,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Court
110,80528,Pool,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court,Food
111,80530,Clothing Store,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
112,80534,Business Service,Coffee Shop,Furniture / Home Store,Yoga Studio,Fast Food Restaurant,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck
113,80537,Pizza Place,American Restaurant,Liquor Store,Athletics & Sports,Construction & Landscaping,Wings Joint,Shipping Store,Football Stadium,Forest,Food Truck
114,80538,Construction & Landscaping,Rock Climbing Spot,Yoga Studio,Farm,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
115,80542,BBQ Joint,Locksmith,Athletics & Sports,Yoga Studio,Food Court,Flea Market,Flower Shop,Food,Food Service,Fast Food Restaurant
116,80543,Ice Cream Shop,Breakfast Spot,Convenience Store,Diner,Hotel,Farm,French Restaurant,Forest,Football Stadium,Food Truck
117,80545,Construction & Landscaping,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
118,80547,Accessories Store,Brewery,Construction & Landscaping,Home Service,French Restaurant,Forest,Fried Chicken Joint,Football Stadium,Farmers Market,Food Truck
119,80550,Playground,American Restaurant,Pet Store,Outdoor Supply Store,Liquor Store,Coffee Shop,Lake,Hawaiian Restaurant,Convenience Store,Beach
120,80601,Fast Food Restaurant,Hotel,Salon / Barbershop,Asian Restaurant,Mexican Restaurant,Big Box Store,Chinese Restaurant,Sandwich Place,Gym / Fitness Center,Rental Car Location
121,80602,Mobile Phone Shop,Tree,Food Court,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop,Food,Yoga Studio,Farmers Market
122,80603,Gun Shop,Yoga Studio,Farmers Market,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
123,80615,Chinese Restaurant,American Restaurant,Antique Shop,Food Service,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Court
124,80620,Martial Arts Dojo,Yoga Studio,Farmers Market,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
125,80621,Construction & Landscaping,Other Repair Shop,Yoga Studio,Farm,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
126,80623,Pizza Place,Martial Arts Dojo,Yoga Studio,Farmers Market,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
127,80631,Bar,Coffee Shop,Pharmacy,Café,Mexican Restaurant,Burger Joint,Brewery,Sandwich Place,Flower Shop,Bank
128,80634,Bank,Doctor's Office,Convenience Store,Construction & Landscaping,Flower Shop,Liquor Store,Other Repair Shop,Food,Fast Food Restaurant,Financial or Legal Service
129,80640,Fast Food Restaurant,Restaurant,Intersection,Sandwich Place,Convenience Store,Coffee Shop,Yoga Studio,Farmers Market,Financial or Legal Service,Flea Market
130,80734,Mobile Phone Shop,Food,Flower Shop,Auto Workshop,Gym,Farmers Market,Fried Chicken Joint,French Restaurant,Forest,Football Stadium
131,80747,Restaurant,Bar,Yoga Studio,Farmers Market,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
132,80751,Park,Gym,Yoga Studio,Farm,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
133,80809,Athletics & Sports,Yoga Studio,Farmers Market,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
134,80825,Bank,Grocery Store,History Museum,Food,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop,Yoga Studio,Farmers Market
135,80828,Restaurant,Hotel,Stadium,Yoga Studio,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Service
136,80829,Trail,Deli / Bodega,Train,Food,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop,Food Court,Farm
137,80863,Office,RV Park,Fast Food Restaurant,Tapas Restaurant,Pizza Place,Indie Movie Theater,Discount Store,Diner,Forest,Football Stadium
138,80902,Department Store,Pet Store,Organic Grocery,Gym / Fitness Center,Distillery,Discount Store,French Restaurant,Forest,Football Stadium,Food Truck
139,80903,Coffee Shop,Fast Food Restaurant,Gym,Hotel,Taco Place,Performing Arts Venue,Smoke Shop,Bus Station,Food,Eye Doctor
140,80904,Gift Shop,Italian Restaurant,Pizza Place,American Restaurant,Boutique,Café,Greek Restaurant,Liquor Store,Sports Bar,Mexican Restaurant
141,80905,Convenience Store,Discount Store,Coffee Shop,Bookstore,Massage Studio,Taco Place,Liquor Store,Thai Restaurant,Breakfast Spot,Donut Shop
142,80906,Mexican Restaurant,Gym / Fitness Center,Seafood Restaurant,Sports Bar,Bar,Thai Restaurant,Pizza Place,Intersection,Hockey Arena,Eye Doctor
143,80907,Fast Food Restaurant,Coffee Shop,Bar,Pizza Place,Sandwich Place,Bakery,Brewery,Food Truck,Gas Station,Shopping Plaza
144,80908,Home Service,Construction & Landscaping,Food Service,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Court,Yoga Studio
145,80909,Liquor Store,Athletics & Sports,Ice Cream Shop,Smoke Shop,Flea Market,Home Service,Bar,Coffee Shop,Fast Food Restaurant,Financial or Legal Service
146,80910,Mobile Phone Shop,Intersection,Farmers Market,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
147,80915,Golf Course,Food,Yoga Studio,Farmers Market,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
148,80916,Hotel,Convenience Store,Korean Restaurant,American Restaurant,Yoga Studio,Food Court,Financial or Legal Service,Flea Market,Flower Shop,Food
149,80917,Park,Bar,Pizza Place,Locksmith,Liquor Store,Construction & Landscaping,Convenience Store,Chinese Restaurant,Dog Run,Doctor's Office
150,80918,Intersection,Park,Yoga Studio,Food Court,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Service
151,80919,Trail,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
152,80920,Park,Coffee Shop,Yoga Studio,Farm,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
153,80922,Intersection,Park,Yoga Studio,Food Court,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Service
154,81001,Fast Food Restaurant,Discount Store,Convenience Store,Video Store,Food Service,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Court
155,81003,BBQ Joint,Pet Store,Convenience Store,Yoga Studio,Food Court,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Truck
156,81005,Chinese Restaurant,Gas Station,Video Game Store,Coffee Shop,Yoga Studio,Food,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop
157,81006,Home Service,BBQ Joint,Grocery Store,Café,Food Court,Flea Market,Flower Shop,Food,Yoga Studio,Fast Food Restaurant
158,81007,Fast Food Restaurant,Sandwich Place,Chinese Restaurant,Pizza Place,Hotel,Automotive Shop,Big Box Store,Flower Shop,Farmers Market,Financial or Legal Service
159,81030,Women's Store,Nightlife Spot,Casino,Distillery,Dive Bar,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck
160,81052,Sandwich Place,Business Service,Tourist Information Center,Movie Theater,Doctor's Office,Gas Station,Thai Restaurant,Café,Train Station,Fast Food Restaurant
161,81058,Restaurant,Diner,Gift Shop,Food Court,Fast Food Restaurant,Financial or Legal Service,Flea Market,Flower Shop,Food,Yoga Studio
162,81073,Motel,American Restaurant,Park,Yoga Studio,Food Service,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Court
163,81077,Convenience Store,Pet Store,Yoga Studio,Farm,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
164,81082,Movie Theater,Yoga Studio,Farmers Market,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
165,81101,Construction & Landscaping,Flower Shop,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
166,81144,Garden Center,Farmers Market,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
167,81154,Burger Joint,Park,Gift Shop,Campground,Yoga Studio,Fast Food Restaurant,French Restaurant,Forest,Football Stadium,Food Truck
168,81211,Construction & Landscaping,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
169,81225,Ski Area,Hotel,American Restaurant,Hotel Bar,Arcade,Bar,Yoga Studio,Fast Food Restaurant,Financial or Legal Service,Flea Market
170,81226,Pizza Place,Diner,Brewery,Coffee Shop,Food,Farmers Market,French Restaurant,Forest,Football Stadium,Food Truck
171,81236,Campground,Yoga Studio,Farmers Market,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
172,81240,American Restaurant,Business Service,Yoga Studio,Fast Food Restaurant,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck
173,81252,Motel,Sandwich Place,Yoga Studio,Farm,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
174,81301,Pizza Place,Gym / Fitness Center,Café,Mexican Restaurant,Liquor Store,Yoga Studio,Home Service,French Restaurant,Football Stadium,Food Truck
175,81401,History Museum,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
176,81413,Ice Cream Shop,Farmers Market,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
177,81418,Pizza Place,Dessert Shop,Lake,Antique Shop,Food Court,Financial or Legal Service,Flea Market,Flower Shop,Food,Food Truck
178,81427,Hotel,Scenic Lookout,Trail,Nature Preserve,Park,Flower Shop,Farmers Market,Fast Food Restaurant,Financial or Legal Service,Flea Market
179,81428,Food,Yoga Studio,Farmers Market,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
180,81501,Park,Baseball Stadium,Football Stadium,Athletics & Sports,Food Court,Financial or Legal Service,Flea Market,Flower Shop,Food,Yoga Studio
181,81503,Paper / Office Supplies Store,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
182,81505,Playground,Park,Baseball Field,Kids Store,Outdoor Sculpture,Tennis Court,Dog Run,Volleyball Court,Food Service,Food Court
183,81506,Hotel,Liquor Store,Motel,Bagel Shop,Pizza Place,Coffee Shop,Salon / Barbershop,Chinese Restaurant,Golf Course,Lounge
184,81520,Art Gallery,Yoga Studio,Farmers Market,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service
185,81521,Campground,Yoga Studio,Farmers Market,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
186,81601,Fast Food Restaurant,Bank,Diner,Hotel,Pizza Place,Thai Restaurant,Coffee Shop,Food,Farmers Market,Financial or Legal Service
187,81611,Park,Accessories Store,Trail,Brewery,Art Gallery,Thai Restaurant,Ski Area,Supermarket,Fast Food Restaurant,Financial or Legal Service
188,81615,Grocery Store,Restaurant,Hotel,Pizza Place,Cosmetics Shop,Sporting Goods Shop,Cajun / Creole Restaurant,Ski Lodge,Liquor Store,Resort
189,81620,Grocery Store,Mexican Restaurant,Pizza Place,Bakery,Sporting Goods Shop,Furniture / Home Store,Sushi Restaurant,Shipping Store,Liquor Store,Sandwich Place
190,81632,Nightlife Spot,Yoga Studio,Farmers Market,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
191,81639,Historic Site,Yoga Studio,Farm,Fried Chicken Joint,French Restaurant,Forest,Football Stadium,Food Truck,Food Service,Food Court
192,81657,Ski Area,Ski Chairlift,Hotel,American Restaurant,BBQ Joint,Athletics & Sports,Food Court,Financial or Legal Service,Flea Market,Flower Shop
